Código nave,Tipo nave (agrupado),TRG,Puerto origen,Puerto destino,Agencia,Sitio,Línea naviera,Servicio,service_time_hours,atraque_hour,atraque_dayofweek,atraque_month,atraque_year,Calado arribo,Calado diff
9544748,Dry Bulk,22683,SAN LORENZO,SAN LORENZO,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,79.41666666666667,0,2,2,2020,10.3,4.8
9722704,Container,94440,CALLAO,CALLAO,82728500-5 - IAN TAYLOR,Sitio 4/5,CMA CGM,Eurosal,55.1,13,2,2,2020,9.375,0.525
9767443,Dry Bulk,23351,PUERTO MONTT,ROSARIO,78986820-4 - B&M,Sitio 8,NON-LINER,NO SERVICE,77.45,17,5,2,2020,9.05,3.55
9337913,Container,90757,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,24.666666666666668,5,5,2,2020,11.5,-0.25
9278911,Dry Bulk,21185,ROSARIO,CALLAO,80992000-3 - ULTRAMAR,Sitio 8,NON-LINER,NO SERVICE,79.83333333333333,9,5,2,2020,9.99,5.09
9338632,Vehicle Carrier,39065,IQUIQUE,MAZATLAN - SIN,96566940-k - AGUNSA,Sitio 4/5,KKK LINE,ASIA,7.5,15,4,2,2020,7.13,0.21
9305594,Container,109149,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 2,COSCO GROUP,WSA3,33.75,11,5,2,2020,11.4,0.5
9648879,Dry Bulk,31538,SAN LORENZO,SAN LORENZO,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,129.83333333333334,9,2,2,2020,10.275,4.7
9645918,Container,116568,LIRQUEN,MANZANILLO - MX,80925100-4 - SOMARCO,Sitio 1,COSCO GROUP,WSA3,21.25,7,5,2,2020,12.1,0.585
9577630,Dry Bulk,24168,PUERTO MONTT,SAN LORENZO,80010900-0 - AGENTAL,Sitio 8,NON-LINER,NO SERVICE,50.583333333333336,21,4,3,2020,8.0,2.15
9195157,Passenger,91740,PUERTO MONTT,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,12.65,6,5,2,2020,8.405,0.005
9483126,Passenger,32477,PUERTO MONTT,PUERTO MONTT,78610880-2 - INCHCAPE,Sitio 4/5,NON-LINER,NO SERVICE,10.883333333333333,6,6,2,2020,6.55,-0.1
